Reference,Order Value,Group
570554,0.38,1
567869,0.4,0
539441,0.42,0
542736,0.55,0
573589,0.55,0
540833,0.65,1
560217,0.79,1
542136,0.84,1
549534,0.84,1
540945,0.85,0
544438,0.85,0
544927,0.85,0
551538,0.85,1
538194,0.95,0
538669,0.95,1
539645,0.95,1
572832,1,0
564665,1.1,1
539715,1.25,1
541118,1.25,1
542594,1.25,0
547007,1.25,1
547009,1.25,1
548720,1.25,0
560775,1.25,1
561895,1.25,0
563579,1.25,1
575881,1.34,1
568514,1.36,1
568914,1.36,1
572072,1.36,0
559166,1.44,0
539056,1.45,1
557880,1.45,1
574549,1.45,1
558242,1.65,1
558527,1.65,1
560591,1.65,0
562937,1.65,1
565076,1.65,0
565400,1.65,1
566610,1.65,0
569551,1.65,1
571932,1.65,1
578154,1.65,1
546876,1.68,1
561629,1.68,0
556810,1.69,1
563025,1.69,1
575901,1.69,0
558453,1.7,1
567674,1.7,0
538288,1.9,0
538565,1.9,0
538667,1.9,0
542746,1.9,0
569906,1.9,1
546393,1.95,1
549314,1.95,1
554207,1.95,1
561683,1.95,0
562588,1.95,1
575675,1.95,1
548515,1.95,0
565975,2.08,0
570201,2.08,0
571703,2.08,0
573181,2.08,1
539656,2.1,1
539759,2.1,0
550337,2.1,1
551060,2.1,0
551530,2.1,1
551853,2.1,0
578782,2.1,0
558055,2.14,0
569816,2.2,0
562436,2.25,0
549040,2.34,0
564954,2.34,1
559511,2.37,1
563480,2.45,1
573669,2.46,0
571060,2.49,1
545331,2.5,1
560032,2.5,1
570286,2.5,1
551506,2.52,1
539714,2.55,1
546002,2.55,0
546004,2.55,1
549669,2.55,0
574309,2.55,1
542253,2.85,0
579725,2.88,0
571256,2.89,0
539665,2.9,0
537230,2.95,1
538188,2.95,0
538724,2.95,1
539081,2.95,0
541840,2.95,0
544325,2.95,0
546539,2.95,1
553353,2.95,1
563233,2.95,1
563573,2.95,1
569583,2.95,0
575967,2.95,0
577780,2.95,1
571739,3,1
575910,3,1
557768,3.01,0
569099,3.25,1
572774,3.25,1
549841,3.3,0
561000,3.3,0
565143,3.3,0
537220,3.35,1
541236,3.35,1
562805,3.59,1
538867,3.75,0
539218,3.75,0
539989,3.75,0
543986,3.75,1
547025,3.75,1
554495,3.75,1
554841,3.75,1
556099,3.75,0
556456,3.75,0
571910,3.75,1
578845,3.75,0
545424,3.8,0
554052,3.8,0
564844,3.82,1
570417,3.82,1
557513,3.9,0
558236,3.9,0
553849,3.95,0
559805,3.95,1
561516,3.95,0
562208,3.95,1
557610,4.15,0
558246,4.15,0
573177,4.15,0
575057,4.15,0
552006,4.16,1
577177,4.16,0
576666,4.2,1
536641,4.25,1
539751,4.25,0
539758,4.25,0
540476,4.25,1
541255,4.25,0
546279,4.25,0
559343,4.25,0
560913,4.25,1
563597,4.25,1
577387,4.25,0
577401,4.25,1
578847,4.25,0
570226,4.35,0
572665,4.48,0
570725,4.5,0
544773,4.65,1
557501,4.68,1
567135,4.68,0
579448,4.68,1
543788,4.84,1
540939,4.92,0
539113,4.95,1
578670,4.95,1
536521,4.95,0
539265,4.95,1
540227,4.95,0
542759,4.95,1
543796,4.95,1
545299,4.95,0
547970,4.95,1
548393,4.95,1
551847,4.95,1
555878,4.95,0
558697,4.95,0
567642,4.95,1
575043,4.95,1
539223,5,1
580601,5,0
544082,5.01,1
536568,5.04,0
537675,5.04,0
552868,5.04,1
561082,5.04,0
544430,5.1,1
546657,5.1,1
551848,5.1,1
559879,5.1,1
555869,5.15,0
559137,5.2,0
580976,5.29,0
544085,5.45,1
578268,5.45,1
580149,5.45,0
536883,5.46,1
539288,5.5,1
556068,5.76,0
569235,5.76,0
553573,5.8,1
554776,5.8,0
554791,5.8,1
559688,5.8,1
574688,5.8,0
538060,5.85,0
541420,5.9,0
556730,5.9,1
557018,5.9,1
569915,5.9,0
570119,5.9,1
576612,5.9,1
536555,5.94,1
537863,5.95,1
541412,5.95,1
551716,5.95,0
554967,5.95,1
558560,5.95,1
559522,5.95,0
566321,5.95,1
571700,5.95,0
575162,5.95,0
569033,6,0
570681,6,1
546413,6.2,0
552194,6.2,1
576238,6.24,1
563190,6.25,1
580715,6.25,0
544423,6.3,1
562883,6.3,0
570202,6.32,1
546550,6.35,1
572351,6.36,0
544431,6.4,1
580820,6.4,0
570705,6.48,1
565755,6.5,1
571109,6.5,0
545055,6.6,1
552250,6.6,0
562428,6.6,1
562536,6.6,1
551425,6.6,1
570497,6.66,1
566465,6.7,1
581435,6.7,1
547804,6.8,1
566761,6.8,1
539987,6.95,1
564205,6.95,0
569516,6.95,0
579409,6.95,0
576877,6.96,1
549107,7.02,0
558243,7.1,0
551135,7.25,0
542800,7.34,1
565367,7.44,1
543753,7.5,1
553016,7.5,0
553871,7.5,0
555385,7.5,1
564628,7.5,0
565577,7.5,0
566964,7.5,0
575928,7.5,0
576361,7.5,0
547225,7.65,1
548506,7.8,0
552524,7.8,1
541391,7.8,1
554263,7.8,1
574320,7.8,0
576922,7.8,1
559828,7.9,1
539729,7.95,1
539734,7.95,0
543383,7.95,1
543385,7.95,0
545584,7.95,0
545703,7.95,1
556033,7.95,1
557800,7.95,1
580521,7.95,1
556519,8.01,0
550824,8.25,1
553157,8.25,1
554007,8.25,1
558720,8.25,0
558721,8.25,1
564951,8.25,0
566302,8.25,1
574519,8.25,0
554811,8.32,0
551536,8.4,1
536866,8.47,1
540797,8.5,1
541782,8.5,1
543920,8.5,0
544809,8.5,0
546014,8.5,0
551651,8.5,0
552717,8.5,0
556266,8.5,0
563545,8.5,0
564018,8.5,0
569550,8.5,1
579612,8.5,1
546303,8.62,0
572792,8.67,1
574576,8.7,0
569818,8.95,1
552289,9,1
577068,9,0
580724,9.08,0
551338,9.09,1
557323,9.28,0
540399,9.3,0
551832,9.36,1
553171,9.36,1
548895,9.6,1
541411,9.75,1
556523,9.75,1
558734,9.75,1
571052,9.87,1
554631,9.9,1
562552,9.9,0
538355,9.9,0
542267,9.9,1
547792,9.9,1
548692,9.9,1
549441,9.9,1
553501,9.9,0
557140,9.9,1
542234,9.95,0
544820,9.95,1
545427,9.95,1
569634,9.95,0
569863,9.95,0
548619,9.96,0
554369,9.96,0
561386,9.96,1
541808,10,1
546374,10,1
550931,10,1
560162,10,1
563820,10,1
567342,10,1
575696,10,0
575934,10,0
545077,10.08,0
552189,10.08,1
558261,10.08,0
559319,10.08,0
574241,10.08,0
537442,10.14,1
543460,10.2,1
558569,10.2,1
571043,10.2,0
574283,10.2,0
539643,10.35,0
570130,10.4,1
538797,10.5,0
539713,10.5,1
543622,10.5,0
555580,10.5,1
564047,10.5,1
567146,10.5,1
567900,10.5,1
577546,10.5,0
575878,10.53,0
575925,10.65,1
543922,10.65,1
563027,10.8,0
540495,10.9,1
541652,11,1
571894,11,1
538096,11.16,0
552862,11.19,1
573307,11.27,1
560900,11.37,0
539839,11.4,1
565192,11.55,0
537035,11.6,1
537048,11.8,1
538721,11.8,1
551334,11.8,1
566874,11.8,1
581394,11.8,0
538501,11.9,0
545103,11.9,0
557252,11.9,0
563236,11.9,1
539323,11.94,1
566253,11.97,1
551401,12,1
570003,12.4,1
571929,12.42,0
565399,12.48,1
568540,12.48,1
573327,12.48,1
574161,12.48,0
575200,12.48,1
579365,12.48,1
581195,12.48,1
550713,12.5,0
557936,12.5,1
580663,12.5,1
552892,12.54,0
536626,12.6,1
550640,12.6,0
554284,12.64,0
540251,12.75,0
540375,12.75,1
540836,12.75,0
542127,12.75,1
544043,12.75,1
548862,12.75,1
552525,12.75,1
559822,12.75,0
560367,12.75,1
561333,12.75,1
562424,12.75,1
571297,12.75,1
578267,12.75,0
555620,13,1
557351,13,1
576958,13.05,0
574270,13.16,1
541799,13.2,0
557254,13.2,1
563981,13.2,0
557583,13.2,0
558482,13.2,1
561372,13.31,0
536565,13.4,0
549896,13.4,1
552063,13.4,0
580709,13.4,0
552645,13.52,0
580300,13.95,1
562255,14.04,1
561207,14.08,0
574742,14.2,1
547393,14.25,1
562225,14.25,1
546390,14.4,1
543012,14.4,0
556052,14.5,1
559126,14.5,0
569145,14.56,0
570470,14.68,1
552534,14.85,0
539051,14.85,0
539592,14.85,0
555817,14.85,0
556789,14.85,1
557873,14.85,0
561687,14.85,1
569359,14.85,1
571906,14.85,1
542615,14.95,1
545061,14.95,1
549712,14.95,1
552538,14.95,0
575338,14.95,1
536541,15,1
536779,15,0
537090,15,0
538127,15,0
538147,15,0
538685,15,0
539310,15,1
541505,15,1
541513,15,1
541983,15,0
543017,15,0
543018,15,1
543134,15,0
543477,15,1
544331,15,1
544407,15,1
545675,15,1
546750,15,1
547207,15,1
548390,15,0
549717,15,0
551299,15,1
551945,15,0
554041,15,1
555504,15,0
555724,15,0
558356,15,0
559677,15,1
559835,15,1
560275,15,1
561602,15,0
561707,15,0
562919,15,0
563092,15,1
563383,15,1
563851,15,0
564163,15,0
564196,15,0
564574,15,1
564649,15,0
564861,15,1
565735,15,1
565870,15,1
565933,15,0
566080,15,0
566865,15,1
570731,15,0
571111,15,0
571191,15,0
571900,15,0
573586,15,0
574546,15,1
576084,15,1
577361,15,0
577797,15,0
579137,15,1
580356,15,0
580361,15,1
580699,15,1
581127,15,1
566823,15.12,0
539449,15.15,1
545448,15.3,0
545870,15.3,0
564338,15.3,1
566208,15.3,0
566117,15.5,1
571182,15.6,0
547165,15.6,1
552174,15.6,1
571050,15.6,1
571916,15.6,0
575208,15.6,0
569534,15.68,0
539017,15.8,1
546311,15.8,0
557042,15.8,1
564431,15.8,1
569696,15.8,1
575869,15.8,1
537616,15.9,1
538050,15.9,1
539571,15.9,0
543395,15.9,0
546033,15.9,1
556097,15.9,1
580674,16.03,0
576347,16.4,0
544333,16.48,0
552647,16.5,1
553049,16.5,1
553874,16.5,1
560205,16.5,1
562533,16.5,1
565760,16.5,1
568691,16.5,1
570144,16.5,1
570481,16.5,0
572078,16.5,1
578070,16.5,0
578150,16.5,1
579107,16.5,1
579947,16.5,1
580302,16.5,0
550249,16.6,1
553847,16.6,1
569149,16.6,0
580683,16.6,1
540186,16.75,0
547239,16.8,1
551826,16.8,1
546312,16.95,1
547865,16.95,0
548403,16.95,0
551424,16.95,1
552815,16.95,0
553056,16.95,1
575830,16.95,0
545790,17,1
553926,17,1
554061,17,1
555419,17,0
558624,17,0
560720,17,0
563365,17,0
563436,17,1
564419,17,0
557290,17.12,0
554633,17.28,1
567951,17.34,1
576358,17.34,0
536400,17.4,0
536463,17.4,1
537229,17.4,1
537631,17.4,0
538716,17.4,0
538892,17.4,1
547717,17.4,1
553153,17.4,0
554524,17.4,1
554945,17.4,1
554953,17.4,1
557767,17.4,0
558653,17.4,0
558925,17.4,1
559456,17.4,1
562941,17.4,0
564354,17.4,0
565678,17.4,1
566670,17.4,1
570485,17.4,1
573422,17.4,1
566056,17.46,0
560995,17.52,0
548657,17.6,0
538179,17.7,1
539052,17.7,1
543988,17.7,1
